ID,Price
INQ0D6,3.3657904
S7ZJIY,9.435221
CZ59WU,8.918977
P6II8S,7.9677987
50OX2V,5.710461
3KZ1BG,17.776373
SJG0FF,2.5909379
S6Z1K3,3.066863
S5Z4YC,5.879699
L4EW07,3.8000093
EIS22D,10.268408
7HZZLE,2.0889797
X3PR4W,4.828499
S0SQ2V,4.2284145
DTXL89,14.384724
60LWOL,5.862126
56JCHS,23.089977
JQ8AL9,6.384726
NCP7E1,2.8296292
DF87AU,4.7620354
2P7SAD,15.671826
5OANZ9,1.8725427
RYIVS5,3.548536
EOSI3F,9.389609
6I9V5T,4.166885
0YVCAP,5.0775
MEFNIB,9.205553
BTIZSX,46.262184
TKDA98,24.689621
7YN56Y,18.212152
VFJ3N8,7.230433
4XA3Q6,21.179878
L8QZG9,2.8484862
QULMX3,8.746483
BVHUOW,5.3479605
D4FD4D,3.0529723
H1US62,3.2594786
MEBEW6,4.8808937
EZWHXM,8.345588
C7MXZK,3.3834083
XDDRE9,5.4843335
M6C968,5.9621806
AL6JWU,4.817722
UCUJBO,6.8290434
63J5SD,7.286875
O9S49G,7.9294252
F5XUV9,10.35946
KAXCHY,2.4931867
PEHQ5I,6.3866634
JQZEIZ,6.3675823
JCJ931,16.257977
P75OON,2.5756447
FJWKD1,20.47939
6EJYAW,2.2538588
KFRSXJ,32.60468
DZTA13,34.984737
LZOGW2,3.5841172
RQQIPG,4.333924
N781SK,2.6847363
7EQ8NM,6.5140233
MEPSFD,3.4275453
1M5VMS,6.9556894
I3O8UQ,3.9432902
QVQPUW,2.6306508
ND2S2A,3.812522
AHW56B,3.2247367
2TQD0R,8.8138895
CRL5SY,3.5918984
BX6VUS,6.76639
L28PTL,6.0401855
3YO382,7.140878
DJMVKO,3.5996299
TCY7UW,10.290575
48PZ8K,5.6315284
3CCRD9,7.216577
BH193T,34.073162
H6YJLH,50.230442
AV2EB0,47.46891
BSESS1,5.9047904
QW3RQK,2.1042128
ILLXO3,38.663357
G70MFH,11.550588
NA745I,4.7685556
MX6RKN,3.0804298
Z4ZBOF,7.035186
BFYZTS,3.4546323
SKT8ZI,10.6951885
N2VTF3,1.2369586
TDKDGV,19.387571
DGAMJU,30.025589
Z5BI6D,2.2760348
AUTVAY,5.2806487
EU6PPE,3.061116
LZ4J7U,2.0507162
D9PBJ7,3.5640273
Y6YYI5,29.444147
LU9SD7,6.234367
XLQFZG,12.268208
7D98UD,8.608952
2DXIR1,5.0356164
232MVG,6.2619977
H3RIDN,11.598595
DCXR8C,7.1241374
B3KW5V,20.950668
3L0QEL,0.6570003
6CY41Z,20.316896
EXDYX9,4.597409
85I3ZC,1.8731325
83SVRG,19.742788
8L817C,15.977698
FK3VNH,3.7344625
EBFHH1,1.8256855
O81JLH,11.5741205
ODMMYI,9.951148
59LMMC,11.721069
G6L5YB,9.797134
FJ0266,3.4142091
NUKURI,7.456992
VW94OD,2.9380026
SFYWSY,1.8838065
TE4N4B,54.068943
QC4B11,2.396258
SN2N27,5.13621
Z9A5G0,3.480007
00AEG0,9.555052
QFAN0G,3.0082793
UOBOEH,4.534027
KB5HFG,6.1121173
7JZ5OC,4.549959
VP4QXB,8.988524
N6ZUS6,3.1843224
L996XG,25.409456
YWK9RX,13.890045
LP7ME7,1.5890324
K2G53Z,28.818428
YGNO5I,8.673183
FXQLJQ,8.825453
DDZBRS,14.875036
7OBR4A,26.031395
QBK1R9,3.8855076
MUKKNM,3.3469405
PSBIVW,2.5998087
9E5LAY,3.2222953
XCWDBQ,8.471086
DEIV37,37.851654
33W8I8,11.682902
8OMK0J,24.297644
03FSB8,3.3356466
A826O3,2.8847153
QPB4Q8,33.038086
K5UVCS,5.465191
ZF6FKU,1.4639921
1A64DC,7.3035035
YHYFEC,1.7139808
A7SQQD,2.981888
HDAD51,8.0483
S2LT2L,8.932305
D0G1WS,27.859684
TGT64K,17.143097
XEVFVM,2.2058272
X1PM2R,8.137735
WETQ3T,7.714924
WAHGNN,4.778844
YR1I9L,32.112095
AIPQXE,2.6861277
RLR9VW,5.728612
UWOPZP,3.0772915
3MXWPU,7.081322
DNZODR,6.124887
RBHFLG,21.283772
4U90TN,5.3817945
B5LBEC,2.6968935
23C7LO,19.411661
X8UWLS,9.708126
O3C306,7.7419477
Q92FMX,4.3249393
Z0ZPR5,23.411453
RVD1GE,7.116941
0N0PVV,20.608284
O4TYGV,6.4164376
26AP41,3.1573288
0AVGLM,23.404247
NDXO0U,7.0280395
YKPPVX,4.9735727
CVMMSS,3.1904602
PSZ9OR,6.457549
960JC4,38.20574
ZWVN5Z,6.2159944
JZL55F,5.26119
AN1CJ5,16.989883
IGS2JC,39.46398
DJY46D,7.609497
RTJFCA,7.964248
0EPI0E,2.2608235
BTNQ05,7.364294
4V1FYO,10.978285
QBQGCN,5.7713118
57NLZ6,29.968891
S30I8Q,5.201329
TN1JJW,5.3082175
YIXS05,7.593921
QQAHDV,15.190097
QAUKWK,2.2559564
QJGX1H,5.679017
E8B98X,3.872232
QL007O,6.0793986
UXFXDR,27.566265
V02WAV,2.4117393
J5EYZK,6.512182
CB4X2T,3.7850163
4ECOLT,2.633703
NFCJ0C,13.689975
DNYZEC,3.90836
LJH6GV,8.625605
TMSC15,10.737917
3XQPFJ,4.0808835
JUHD1T,3.1013553
73UU84,4.390972
2TW2JA,4.5553837
DQOE6H,1.7169998
REWE63,7.6569824
5YTU6F,6.7745247
D162ZF,61.617508
28FUGU,6.0379734
HPR39V,2.408306
T8G2RY,4.6390486
FPQRW7,10.308544
E9AQUP,2.9449387
K8WELO,6.0995855
45J5J8,80.99351
FLQKGC,6.817332
J8YUAX,4.903845
5052H3,4.003492
2Y2LO3,19.657803
AIOL3M,6.4122744
P3VR3D,1.6735957
QA7UCN,3.7451937
UX88P7,5.5144672
JBZFPH,7.086538
7H5R1J,29.68394
R3VIVB,6.0538964
OC6M2I,11.878091
ND8W1Y,8.116827
1MDNAT,5.9988246
ZV34Z5,4.9477706
P0P67H,6.4139996
9PM64T,22.759298
VB3QK0,3.1681826
BHDS6O,4.0451436
KCPIMH,8.79536
T9DG23,12.154327
SOWGGL,5.5913053
UT7I3D,25.96941
0APX5G,2.7834473
X2CQQ4,5.3123813
A0QRQO,5.690915
JIX3SF,4.2334204
4HJHCS,5.919692
IOVJNP,2.9899228
6O7PG2,15.925473
G5FN85,6.9049706
BP70VH,4.030996
AC15RL,6.177111
NWIEPW,6.3496222
EFT3TB,2.2693288
YG8EKW,3.8824434
XJ0KYQ,7.494325
GUZC5N,8.803604
9KV3WT,21.55214
7X6REU,8.67118
YIYW7C,4.197921
S8A2JQ,2.788758
JWXYEX,4.234786
672QSC,25.026474
A9YR49,2.6961694
JL3EP7,4.665816
WN4MSA,11.44724
FE85TS,24.980864
QYV3DY,8.398845
2NQFIT,10.62997
X55PIR,4.1883388
S789LE,3.3665888
FC4WFL,2.653951
I98XGU,13.515979
QXRCNY,7.5652857
KO9GPH,14.257511
OSS017,5.6671085
VIKAXN,10.056289
VCFBPK,3.7230537
MA7MN6,33.612972
N93HPO,1.9392703
58UZRF,9.636908
827XKP,3.919646
298JU5,40.758602
XUFJML,1.7274938
20U2NE,3.3573766
CQ0AO6,8.397244
E1U0M8,0.53213394
TVFUKE,4.3816204
2JLPLV,18.25595
SLVEIU,4.6473904
58UVU1,22.963121
32MH13,7.858576
YJTW1P,6.5842586
KHDNHZ,2.468252
B6BNHB,3.3683767
DG3EUC,5.4132934
8URDJZ,10.137934
ZV80PZ,4.74158
SMLBSV,2.7636132
HBRP63,5.1605453
S607ZC,4.4783134
T71IM5,9.157395
48AQL8,52.88098
R4MJG5,4.220454
U9S8JI,5.812227
OJTNWS,4.668063
O15SW4,45.140244
KD868N,2.1485527
AA4R89,12.09429
RLGDXU,3.8932312
U4NKNK,6.3096714
LUSTWM,12.926588
PR9CZC,15.677666
71OP6T,1.870318
NBFI89,67.46957
46O1SV,16.063276
FGEAAA,10.027431
H6ZP4F,3.978134
GPEWJK,5.9934287
BIPGSK,1.7584938
EJE7H6,21.114481
EWSUF6,6.1328473
3RBC0E,4.395545
TP9CQT,3.3193429
FN6MSQ,6.9981046
F7O8IW,4.620074
DXUJU0,7.0331535
Z5Q5LD,9.164927
63CTGB,3.569443
HPBHJK,6.6828494
7HXY7C,21.022778
BRWCY5,3.109852
NE0ZKB,2.3578455
W6YN5I,11.718373
3P4RE8,7.292731
1SWN0R,9.394171
VUKLJA,3.2688568
UA04CE,4.237632
NCYO2P,4.552377
ZBM1GF,24.77703
WQ2T2R,9.6690855
1IJMI0,6.0439706
OEE1EC,3.2060287
I87UC7,1.4734652
WS1F72,18.284767
0T9FDX,11.779338
2JD5WS,7.4342566
4ECDN6,3.3341992
4VD4H3,44.62587
HANWKM,4.9999886
85O6JK,5.999559
GI9S4C,4.075806
B6BMQ1,4.17873
3L1DK0,4.1801996
JYOEAJ,4.1440234
AQS333,3.1227322
BUXDG5,13.281005
78QBKB,7.258095
20BVN6,33.74031
VLI18Q,3.6206548
Z0O8TS,14.689552
YK0XS3,7.914937
7N6A9M,18.141176
2OJHU3,2.497943
FJO00S,37.774303
W3W6LL,8.916806
CCP2V8,36.96316
3W3RYD,26.19146
XAVL6L,6.4224396
RCO51W,58.57738
19EPP8,6.075994
QBB7O0,1.119219
U7EV91,7.0063806
P5QJEQ,8.248969
W0OHTG,4.858518
GBU7BZ,4.025679
VR6HUE,12.261984
F0M038,12.656405
N8ZVN9,6.389703
HCYSXM,6.91761
7LXII2,13.010359
3M6SCJ,2.3998394
H292OJ,8.736038
T1W3BL,2.562852
4GQJI2,3.3828483
CZXNKA,12.136353
DEXK0Y,4.4177175
KHUI2T,9.595358
V6Y0BY,2.9562693
E4LV7S,3.4699817
16PZDG,4.7539606
TBXM73,5.484851
WS0KOO,33.67489
2EDIZ7,12.644494
CB3C09,5.31392
LVK3DX,5.0023437
PRTPMT,2.6042693
J6TRB6,2.6009624
HDWZ08,5.723219
ZWK0P2,2.5748997
AJICGC,5.6945434
VNZU90,1.9174145
C079PC,2.057648
914R44,15.043322
3Y0RM2,25.322187
G6M5OW,14.182082
35L258,2.4672685
DU5EOS,4.3077683
LB7YYF,4.1309443
DRQUNB,3.719405
C2BRLE,7.0697184
ZZY8IV,4.0946183
UTCHY9,3.4152896
3UYKVB,2.4510703
QHIWXK,1.1897781
1WBHU8,5.007959
SRLL8B,6.801794
JMIFER,13.418954
6FH9L9,5.3511667
JBBC6Z,5.9528203
WPMGHE,4.045386
7NIPWW,2.1025937
OJUU67,3.0936806
UVICN3,6.015961
DMQKTJ,9.050261
IAOPOA,9.596876
A3QJ5M,2.8581798
DRDCWS,6.8547363
NZQ9JL,3.154433
TI330O,26.615797
4ON92V,4.689001
YMUW00,4.7218375
QWA2Y3,3.1248674
2KK1G8,19.575735
RY05YA,6.796227
DZTSNJ,4.7277145
G5EYDZ,2.8741438
ZAXF7F,4.059131
AELOGO,1.0184622
7DLLR6,3.8907986
C2VOUT,3.1109753
WGH85M,14.107973
XQHNLI,3.274611
GOI3MU,6.636897
08B2U1,11.478452
E2TROG,5.627888
X13DMY,27.593924
FDGTMV,3.3894448
FPMN73,24.753633
IJPIFY,8.956712
DL1Z7Y,39.259514
AGYAMY,8.1868925
Q54Z5K,3.738668
WAC3VE,26.614494
G1K33D,4.672959
GY3ID5,58.22536
KCAYEP,8.176453
YHH3XO,3.7795587
404HD6,16.829224
VY6BW0,2.1778176
EGWEU4,1.1882463
SYGBUF,6.5927444
9GWY6H,20.190735
DNBU97,3.3256516
J1AWUW,3.8611417
7BZW7B,3.1207027
67IPBL,2.5132577
RK8KWP,6.302979
Z6GBZI,2.6123202
SJPHKT,6.8198614
OUQEV1,4.802123
5SC65Z,5.0720716
JB0YDR,9.881961
G829JQ,2.2914157
Z4KIWV,8.990869
A98QUL,7.2846303
WAA636,2.2751946
LRB0BR,33.026768
6HH4EZ,1.779867
RDWK16,4.0982428
L22KGT,4.0093493
4UWD7R,5.109925
EJSSOL,8.329004
E62TQV,4.280534
NF5V8A,3.176246
WN12XH,3.5459986
YDFNHY,3.9228573
4NTIIG,5.928493
E291X8,9.379303
PELGX4,21.348988
80HXCO,4.415354
066IUH,37.33826
P9O5FP,4.231362
K7Q146,9.167173
83OG3R,6.21679
WNIOCQ,0.8494022
9TIEHS,4.21927
U77EGN,7.7495775
51JBIB,20.54657
BE3VHP,49.782486
NOWE0V,4.435614
FJX9DB,5.165792
0RRABJ,4.3509903
ER1ZNB,7.987932
YAULWP,2.9444337
V5HO8D,12.419019
W8PQM1,2.9930503
VQ5ZSU,37.201645
J3UGAI,9.980375
20UK66,2.4530349
0BMOSH,2.203435
CAJ9PO,4.521178
RY2MZG,2.8014758
W7ME8M,3.8304942
4HFDPI,4.6623
IF3BB8,6.9273434
Z6C9WZ,6.4530997
D81K2N,40.228107
Z8W1ZW,7.156481
0R7HKQ,5.802676
JZFJVS,4.039883
181PTL,3.5490334
1BOJPL,4.3671417
SWQ5JG,31.0405
6JJCQO,6.0286856
CK8TM5,2.793789
C6GK80,9.260195
HDV1QD,16.35891
2A5A76,4.0419908
U7OXIX,3.161277
FQRVQG,3.2120388
980LIH,12.321275
ELRV70,11.037073
DBVWXY,3.868664
OR993E,21.715897
GOY86H,5.738955
5NSUT4,1.2342066
UNKG2L,25.31718
8UFAI5,4.0464363
9CKLIB,2.8641262
NEMVGS,53.31717
9ICEA8,3.1367214
B0SOF3,6.690462
WXFPMB,15.566674
VP20S2,22.890839
PZ0UWW,8.129519
KFGI9B,8.653621
03A5SR,24.608839
WSCPPA,10.682973
46GKOW,26.753775
V56DRF,38.68378
KDZ0D1,2.7926457
WN8L3K,37.043285
HGPCGZ,3.5386572
QAH0BY,2.9095378
T8XBS9,2.6833727
MOHQSU,59.539658
0DVSOT,5.605954
0KC37E,0.7577876
4OWNQE,6.334513
2MY4OM,8.534539
B3SC3G,4.5343695
ZDOIAT,3.7766316
8BAXS5,12.608309
O9UO5F,5.872247
A2UEE7,5.1743593
WA5MYO,4.337215
VITD5D,1.4530133
3XO7AI,3.3687317
48OSLB,11.185817
M4NBR7,17.139402
NA3SWD,29.323252
KFUKZS,4.2486444
LHHFKW,50.526733
VHBOAR,20.457912
TJBNJM,3.0168827
ZZ1SNP,3.52029
B7KSW6,1.3594649
C1A724,4.62988
9CYGYQ,13.389711
HY8LNY,21.808622
GG8KLY,4.592652
WI323K,2.8577352
P2KCUI,18.901207
9G1Q1R,3.6147697
SBJEDE,6.4535475
IH6CVU,7.2306232
S8KBD8,2.829845
RX6RYS,8.270755
MUB08R,2.0665267
JK0WM6,5.781144
IRUTEU,5.0949802
0XV6M8,4.715208
U0C0GX,6.1095057
5C54B9,2.018013
1VMJ9O,1.8303106
WNUC0S,2.9592123
L778QU,2.982816
XHDHRD,3.80806
SSLRM6,2.5834146
0RWLBS,3.50804
3NGOD9,8.148616
2J1KG4,15.264697
V58ZHA,18.088972
6XNPY2,2.3749523
PKR2EP,14.427015
R09TL5,10.507252
JVBBWZ,3.5866826
OVHB8S,5.37829
HZHCD2,4.3416367
NUOUU1,2.348122
8IZLGA,19.190771
RUUBT7,38.136597
IFH4GI,2.7439406
C1A6H1,11.913815
Y45DTV,3.2252219
QQTRMY,19.609823
FN57ZV,5.890069
86NS3S,1.2325898
LHXTSP,5.5396447
PMF0XV,14.489212
V871B7,3.6737552
